TopicID	LinearMathAMR
B.1	multi-sentence come-across-21 i problem this find-01 value-01 string-entity contain-01 string-entity interval$C-C$$ minus 1 minus divide 1 3 - range-01 string-entity times 𝑥 𝑓 𝑐 string-entity eq divide plus 𝑐 𝑥 SUP 𝑥 2 plus 𝑐 times 𝑥 2 SUP 𝑥 2 times 𝑥 𝑓 then
B.2	thing solve-01 equation form follow-01 string-entity eq times plus 1 𝑥 𝑓 divide times 𝑓 𝑑 times 𝑥 𝑑 differential
B.3	multi-sentence attempt-01 i resolve-01 problem follow-04 find-01 thing correct-02 equal-01 thing name SUP 10 minus 10 exact approximate-01 equal-01 thing name root 5 2 algorithm bisect-01 contrast-01 obligate-01 understand-01 i place-01 string-entity root 5 2 function-01 string-entity 𝑥 sure-02 thing go-02 there -
B.4	contrast-01 have-03 i sum-of string-entity SUB SUP SUB sum eq 0 𝑘 𝑛 times 𝑘 𝑘 𝑛 \binom string-entity times SUP 2 minus 𝑛 1 𝑛 know-01 result-01 know-01 thing get-05 you -
B.6	multi-sentence want-01 i find-01 string-entity times 8 \mod SUP 5 133 notice-01 i string-entity eq 5 times 8 \mod SUP 5 𝑛 and lead-03 say-01 string-entity eq 5 times 8 \mod SUP 5 133 even-02 string-entity 𝑛 - have-polarity-91 - contrast-01 know-01 thing prove-01 this -
B.8	multi-sentence find-01 i value-01 string-entity limit SUB limit → 𝑛 infinity root divide times SUP factorial 𝑛 3 SUP 27 𝑛 factorial times 𝑛 3 𝑛 try-01 and string-entity eq limit SUB limit → 𝑛 infinity times D-lsqb;&rsqb; minus plus times ln factorial 𝑛 3 times ln 27 𝑛 ln factorial times 𝑛 3 divide 1 𝑛 ln 𝑙 string-entity eq limit SUB limit → 𝑛 infinity SUP divide times SUP factorial 𝑛 3 SUP 27 𝑛 factorial times 𝑛 3 divide 1 𝑛 𝑙 string-entity solve-01 i it amr-unknown help-01 you imperative +
B.9	multi-sentence need-01 i write-01 series string-entity SUB SUP SUB sum eq 0 𝑛 𝑁 times SUP 𝑥 𝑛 𝑛 form involve-01 notation string-entity eq divide times plus 1 times 𝑛 2 plus 𝑛 SUP 𝑛 2 6 SUB SUP SUB sum eq 0 𝑖 𝑛 SUP 𝑖 2 summarize-01 - have-03 anyone idea any do-02 this amr-unknown
B.10	"multi-sentence find-01 you value-interval variable integrate-01 proper - name SUB SUP SUB int 0 infinity divide sin 𝑥 SUP 𝑥 𝑎 variable converge-01 name ""a>0"" imperative obligate-01 i expand-01 integrate-01 use-01 expand-01 series amr-unknown"
B.11	"multi-sentence contrast-01 have-03 parameterize-01 string-entity eq interval$O-O$$ times 𝑢 𝑓 times 𝑣 𝑔 times interval$O-O$$ 𝑢 𝑣 Φ need-01 calculate-01 string-entity SUP 𝑅 2 example book calculate-01 string-entity determine-01 ""d"" string-entity SUP 𝑅 3 plenty example case-04 string-entity SUP 𝑅 2 none at-all exemplify-01"
B.12	multi-sentence ask-02 it and find-01 i root all sketch-01 it then proceed-01 we amr-unknown
